arg-id,argument
Acsv-1_0,当社は地球温暖化防止の方向性について賛同する。
Acsv-1_1,当社は第7次エネルギー基本計画に賛同する。
Acsv-2_0,「バランスのとれたＳ＋３Ｅの実現」を基本方針として検討、策定されている点に賛同する。
Acsv-3_0,今回示されたエネルギー基本計画案は、S＋3Eの原則に基づき、国民生活と経済活動を支えるエネルギー政策であり、評価できる。
Acsv-3_1,製紙業界の製造工程における蒸気エネルギーの重要性を考慮したエネルギーミックスに賛同する。
Acsv-4_0,第７次エネルギー基本計画（案）の方向性に賛同する
Acsv-5_0,国が示す認識に賛同する。
Acsv-5_1,エネルギー安定供給、経済成長、脱炭素を同時に実現する方向性に賛同する。
Acsv-6_0,第7次エネルギー基本計画（案）は、エネルギー安全保障の要請の高まりや電力需要増加の見通しを正面から捉えている。
Acsv-6_1,第6次エネルギー基本計画における「環境適合」に過度に傾斜していた部分を見直し、「安定供給」と「経済効率性」の重要性を再評価したことは評価できる。
Acsv-7_0,第7次エネルギー基本計画、地球温暖化対策計画、GX2040ビジョンは、エネルギー政策と地球温暖化政策、成長戦略、産業政策を一体化して推進する必要がある。
Acsv-7_1,政府はこれらの計画、ビジョンを統合的、整合的に推進する強い意志を示している。
Acsv-7_2,具体的政策を着実に推進すべきである。
Acsv-8_0,日本の未来を大切に考えるのであれば、第７次エネルギー基本計画案は廃案にし、一から基本計画をやり直すべきである。
Acsv-9_0,この計画案には反対である。
Acsv-10_0,第7次エネルギー基本計画案には多くの問題点があり、認めることができない。
Acsv-11_0,このエネルギー基本計画案は撤回されるべきである。
Acsv-12_0,断固反対です
Acsv-13_0,第7次エネルギー基本計画（案）を廃案とすべきである。
Acsv-13_1,原子力依存度の増加や再生可能エネルギーの推進不足、市民意見の反映不十分から、より持続可能で安全なエネルギー政策への転換を求める。
Acsv-14_0,第7次エネルギー基本計画(案)に対して大反対である。
Acsv-15_0,気候危機の深刻さを認識すべきである。
Acsv-15_1,2030年までが「決定的に重要な10年」であることを明記すべきである。
Acsv-15_2,日本が気候変動問題の加害国であることを第7次エネルギー基本計画案に明記すべきである。
Acsv-15_3,こうした認識の下に計画案が策定されるべきである。
Acsv-16_0,地球温暖化による猛暑、気候災害の発生は待ったなしの問題である。
Acsv-16_1,温暖化対策に本気で取り組む姿勢と計画が必要である。
Acsv-16_2,第7次エネルギー基本計画には温暖化対策への本気さが感じられない。
