"axis","side","keyword"
"地球温暖化を深刻に捉える ↔ 温暖化懐疑・慎重論","left","気候危機は決定的に重要な10年"
"地球温暖化を深刻に捉える ↔ 温暖化懐疑・慎重論","left","脱炭素の加速が必要"
"地球温暖化を深刻に捉える ↔ 温暖化懐疑・慎重論","left","温暖化災害から守る"
"地球温暖化を深刻に捉える ↔ 温暖化懐疑・慎重論","right","温暖化の原因はCO2ではない"
"地球温暖化を深刻に捉える ↔ 温暖化懐疑・慎重論","right","脱炭素政策は自殺行為"
"地球温暖化を深刻に捉える ↔ 温暖化懐疑・慎重論","right","IPCC説は仮説にすぎない"
"成長戦略・産業競争力重視 ↔ 将来世代・自然環境重視","left","技術開発で産業を支える"
"成長戦略・産業競争力重視 ↔ 将来世代・自然環境重視","left","産業競争力の維持が必要"
"成長戦略・産業競争力重視 ↔ 将来世代・自然環境重視","left","データセンター投資確保"
"成長戦略・産業競争力重視 ↔ 将来世代・自然環境重視","right","将来世代のための責任"
"成長戦略・産業競争力重視 ↔ 将来世代・自然環境重視","right","自然多様性を守るべき"
"成長戦略・産業競争力重視 ↔ 将来世代・自然環境重視","right","少し不便でも安心を"
"再エネ中心 ↔ 原発・火力併用・現実主義","left","再エネ100％を目指す"
"再エネ中心 ↔ 原発・火力併用・現実主義","left","再エネは雇用と地域活性化を生む"
"再エネ中心 ↔ 原発・火力併用・現実主義","left","化石燃料からの脱却"
"再エネ中心 ↔ 原発・火力併用・現実主義","right","原子力の安定供給を評価"
"再エネ中心 ↔ 原発・火力併用・現実主義","right","火力の柔軟性が必要"
"再エネ中心 ↔ 原発・火力併用・現実主義","right","再エネ極振りは現実的でない"
"エリート主導の効率的政策決定 ↔ 民主的・透明な政策形成","left","技術的判断を尊重"
"エリート主導の効率的政策決定 ↔ 民主的・透明な政策形成","left","官民連携の推進"
"エリート主導の効率的政策決定 ↔ 民主的・透明な政策形成","left","政府主導で迅速に"
"エリート主導の効率的政策決定 ↔ 民主的・透明な政策形成","right","国会で審議すべき"
"エリート主導の効率的政策決定 ↔ 民主的・透明な政策形成","right","市民参加の促進"
"エリート主導の効率的政策決定 ↔ 民主的・透明な政策形成","right","パブコメ反映の強化"
"経済合理性重視 ↔ 公平・分配・倫理重視","left","コスト効率を最大化"
"経済合理性重視 ↔ 公平・分配・倫理重視","left","GXには技術と投資が不可欠"
"経済合理性重視 ↔ 公平・分配・倫理重視","left","長期便益を見通した投資が重要"
"経済合理性重視 ↔ 公平・分配・倫理重視","right","低所得者のエネルギー貧困に配慮"
"経済合理性重視 ↔ 公平・分配・倫理重視","right","気候正義や世代間公平を考慮"
"経済合理性重視 ↔ 公平・分配・倫理重視","right","国民負担を正しく開示すべき"
